item,avg_rating,rank,rating_sd,number_ratings,character
sheeple (not conspiracist),71.8,34,29.5,274,Milhouse Van Houten
transparent (not machiavellian),71.8,206,29.1,36,Milhouse Van Houten
corporate (not freelance),71.7,286,29.7,39,Milhouse Van Houten
🤠 (not 🤑),71.6,496,27.4,114,Milhouse Van Houten
predictable (not quirky),71.6,171,26.9,39,Milhouse Van Houten
democratic (not authoritarian),71.5,326,26.4,345,Milhouse Van Houten
reliable (not experimental),71.3,425,29.5,41,Milhouse Van Houten
sheriff (not outlaw),71.2,415,22.5,305,Milhouse Van Houten
foolish (not wise),71.1,260,26.8,436,Milhouse Van Houten
depressed (not bright),71,244,24.3,378,Milhouse Van Houten
outsider (not insider),70.9,291,31.9,298,Milhouse Van Houten
gracious (not feisty),70.7,115,23.1,339,Milhouse Van Houten
🐐 (not 🦒),70.6,282,32,164,Milhouse Van Houten
head@clouds (not down2earth),70.6,359,26.8,413,Milhouse Van Houten
scientific (not artistic),70.5,499,24.9,390,Milhouse Van Houten
grateful (not entitled),70.5,369,26.1,54,Milhouse Van Houten
stuck-in-the-past (not forward-thinking),70.5,222,26.9,61,Milhouse Van Houten
uncreative (not open to new experinces),70.4,138,26.1,417,Milhouse Van Houten
provincial (not cosmopolitan),70.3,194,26,289,Milhouse Van Houten
bashful (not exhibitionist),70.2,113,28.5,43,Milhouse Van Houten
serious (not bold),70.1,271,24.5,382,Milhouse Van Houten
indie (not pop),70.1,538,26.4,34,Milhouse Van Houten
modest (not flamboyant),69.8,509,28.6,417,Milhouse Van Houten
incompetent (not competent),69.7,118,28.8,386,Milhouse Van Houten
family-first (not work-first),69.7,507,27.6,356,Milhouse Van Houten
thinker (not doer),69.6,163,32.5,68,Milhouse Van Houten
envious (not prideful),69.5,42,25.9,60,Milhouse Van Houten
unpolished (not eloquent),69.3,276,28.5,319,Milhouse Van Houten
miserable (not joyful),69.2,573,24.3,126,Milhouse Van Houten
punchable (not loveable),69.2,299,32.4,57,Milhouse Van Houten
unambitious (not driven),69.1,38,27.6,332,Milhouse Van Houten
devout (not heathen),69,393,24.7,294,Milhouse Van Houten
oxymoron (not tautology),69,114,23.8,27,Milhouse Van Houten
pensive (not serene),68.9,670,31.5,37,Milhouse Van Houten
wholesome (not salacious),68.9,589,30.1,127,Milhouse Van Houten
methodical (not astonishing),68.7,531,27,312,Milhouse Van Houten
warm (not quarrelsome),68.7,394,26.1,390,Milhouse Van Houten
🧕 (not 💃),68.7,134,25.7,197,Milhouse Van Houten
reactive (not proactive),68.5,249,28.2,42,Milhouse Van Houten
👟 (not 🥾),68.4,395,31.7,129,Milhouse Van Houten
🥶 (not 🥵),68.4,227,31.6,62,Milhouse Van Houten
glad (not mad),68.3,321,24.2,106,Milhouse Van Houten
sweet (not bitter),68.2,519,25.7,347,Milhouse Van Houten
obsessed (not aloof),68.1,587,30.2,383,Milhouse Van Houten
sensible (not ludicrous),68,611,29,379,Milhouse Van Houten
simple (not complicated),68,145,29.1,374,Milhouse Van Houten
literal (not metaphorical),67.9,473,28,338,Milhouse Van Houten
soulful (not soulless),67.9,1059,29,72,Milhouse Van Houten
folksy (not presidential),67.8,396,27.3,53,Milhouse Van Houten
freak (not normie),67.8,531,29.3,58,Milhouse Van Houten
analysis (not common sense),67.7,476,28.2,39,Milhouse Van Houten
neat (not messy),67.5,777,27.7,292,Milhouse Van Houten
overprepared (not efficient),67.5,82,28.8,64,Milhouse Van Houten
empath (not psychopath),67.5,781,27.2,47,Milhouse Van Houten
altruistic (not selfish),67.4,639,25.3,421,Milhouse Van Houten
orderly (not chaotic),67.3,617,28.1,414,Milhouse Van Houten
slothful (not active),67.2,92,23.6,349,Milhouse Van Houten
dramatic (not no-nonsense),67.2,532,27.8,144,Milhouse Van Houten
valedictorian (not drop out),67.2,902,32.2,132,Milhouse Van Houten
📉 (not 📈),67.2,104,30.6,126,Milhouse Van Houten
hard-work (not natural-talent),67.2,613,27.1,54,Milhouse Van Houten
neutral (not opinionated),67.2,36,33.7,53,Milhouse Van Houten
moody (not stable),67.1,781,28.3,399,Milhouse Van Houten
sorrowful (not cheery),67,666,25.9,431,Milhouse Van Houten
offended (not chill),66.9,588,29.6,61,Milhouse Van Houten
emotional (not logical),66.6,569,29.6,433,Milhouse Van Houten
technophile (not luddite),66.5,362,27.4,322,Milhouse Van Houten
whippersnapper (not sage),66.5,325,31.3,47,Milhouse Van Houten
centrist (not radical),66.4,188,30,39,Milhouse Van Houten
heroic (not villainous),66.3,1076,19.6,425,Milhouse Van Houten
idealist (not realist),66.3,443,30.5,120,Milhouse Van Houten
tight (not loose),65.9,830,30.6,63,Milhouse Van Houten
sugarcoated (not frank),65.8,99,29.7,37,Milhouse Van Houten
autistic (not neurotypical),65.7,83,27.9,368,Milhouse Van Houten
nonpolitical (not political),65.6,302,33,328,Milhouse Van Houten
French (not Russian),65.5,545,31,57,Milhouse Van Houten
juvenile (not mature),65.4,472,32.8,95,Milhouse Van Houten
feminist (not sexist),65.3,987,27.6,168,Milhouse Van Houten
communal (not individualist),64.9,238,30.1,74,Milhouse Van Houten
stinky (not fresh),64.9,283,27.3,211,Milhouse Van Houten
sober (not indulgent),64.8,425,31.2,412,Milhouse Van Houten
not genocidal (not genocidal),64.8,1095,33.4,46,Milhouse Van Houten
prudish (not flirtatious),64.8,398,32.7,53,Milhouse Van Houten
geriatric (not vibrant),64.6,201,27.1,47,Milhouse Van Houten
proletariat (not bourgeoisie),64.4,542,29.8,325,Milhouse Van Houten
🎃 (not 💀),64.3,438,33.6,61,Milhouse Van Houten
straightforward (not cryptic),64.2,884,31.8,364,Milhouse Van Houten
gendered (not androgynous),64.1,1454,30.1,148,Milhouse Van Houten
patient (not impatient),64,376,29.6,156,Milhouse Van Houten
🦄 (not 🐴),64,436,35.9,118,Milhouse Van Houten
🏌 (not 🤺),64,146,31.6,120,Milhouse Van Houten
rock (not rap),63.9,1361,25,37,Milhouse Van Houten
introspective (not not introspective),63.7,857,31,189,Milhouse Van Houten
classical (not avant-garde),63.5,657,28.6,87,Milhouse Van Houten
lenient (not strict),63.4,517,31.1,402,Milhouse Van Houten
pessimistic (not optimistic),63.4,556,32.2,321,Milhouse Van Houten
open-book (not secretive),63.4,355,32,63,Milhouse Van Houten
scrub (not legit),63.3,183,30.4,142,Milhouse Van Houten
consistent (not variable),63.1,727,33,55,Milhouse Van Houten
skeptical (not spiritual),62.9,1077,26.7,346,Milhouse Van Houten
reasoned (not instinctual),62.9,415,29.9,332,Milhouse Van Houten
manicured (not scruffy),62.8,986,29,387,Milhouse Van Houten
refined (not rugged),62.7,799,27.8,377,Milhouse Van Houten
ugly (not beautiful),62.6,187,27.6,92,Milhouse Van Houten
unprepared (not hoarder),62.5,291,31.6,288,Milhouse Van Houten
🤐 (not 😜),62.5,655,31.3,103,Milhouse Van Houten
slow-talking (not fast-talking),62.5,304,30.4,49,Milhouse Van Houten
jealous (not compersive),62.4,587,30,288,Milhouse Van Houten
irrelevant (not important),62.4,107,28.4,225,Milhouse Van Houten
patriotic (not unpatriotic),62.4,964,26.9,79,Milhouse Van Houten
works hard (not plays hard),62.3,1022,28,393,Milhouse Van Houten
asexual (not sexual),62.3,363,30.4,56,Milhouse Van Houten
generous (not stingy),62.3,887,28.1,62,Milhouse Van Houten
diligent (not lazy),62.2,1549,28.1,363,Milhouse Van Houten
theoretical (not empirical),62.2,158,29.9,334,Milhouse Van Houten
fearmongering (not reassuring),62.2,490,38.2,45,Milhouse Van Houten
queer (not straight),62.1,252,27.3,146,Milhouse Van Houten
subjective (not objective),62,396,32.2,74,Milhouse Van Houten
expressive (not stoic),61.8,845,29.2,420,Milhouse Van Houten
🤔 (not 🤫),61.8,662,34,118,Milhouse Van Houten
mathematical (not literary),61.5,408,28.9,393,Milhouse Van Houten
conservative (not liberal),61.5,392,30.8,114,Milhouse Van Houten
feminine (not masculine),61.3,651,21,454,Milhouse Van Houten
monochrome (not multicolored),61.3,626,31.5,77,Milhouse Van Houten
slugabed (not go-getter),61.2,108,31,101,Milhouse Van Houten
bad-cook (not good-cook),61.2,579,29.6,48,Milhouse Van Houten
🙃 (not 🥰),61.1,564,33.5,197,Milhouse Van Houten
believable (not poorly-written),61.1,1588,24.7,57,Milhouse Van Houten
high-tech (not low-tech),61,669,29.7,329,Milhouse Van Houten
quitter (not persistent),60.7,31,32.9,132,Milhouse Van Houten
👨‍⚕️ (not 👨‍🔧),60.7,735,33.8,141,Milhouse Van Houten
focused on the future (not focused on the present),60.6,460,30.8,328,Milhouse Van Houten
blue-collar (not ivory-tower),60.6,719,29.1,341,Milhouse Van Houten
reasonable (not deranged),60.6,862,29.2,141,Milhouse Van Houten
long-winded (not concise),60.6,459,29.9,36,Milhouse Van Houten
jealous (not opinionated),60.5,184,30,41,Milhouse Van Houten
biased (not impartial),60.4,1094,30.5,339,Milhouse Van Houten
chivalrous (not businesslike),60.3,645,33.4,50,Milhouse Van Houten
poor (not rich),60.1,562,24.1,314,Milhouse Van Houten
🤡 (not 👽),60.1,452,34.3,129,Milhouse Van Houten
naive (not paranoid),60,379,34.5,47,Milhouse Van Houten
monastic (not hedonist),59.9,371,29,69,Milhouse Van Houten
unassuming (not pretentious),59.8,480,34,117,Milhouse Van Houten
fantastical (not realistic),59.8,582,34,58,Milhouse Van Houten
unmotivated (not motivated),59.8,96,29.3,36,Milhouse Van Houten
rigid (not flexible),59.7,781,31.7,360,Milhouse Van Houten
dunce (not genius),59.6,340,28.3,467,Milhouse Van Houten
utilitarian (not decorative),59.6,978,30.8,62,Milhouse Van Houten
lighthearted (not intense),59.6,393,32.6,55,Milhouse Van Houten
knowledgeable (not ignorant),59.6,1233,30.2,49,Milhouse Van Houten
deep (not epic),59.6,526,24.6,53,Milhouse Van Houten
child free (not pronatalist),59.5,1010,34.4,251,Milhouse Van Houten
historical (not modern),59.5,626,27.9,249,Milhouse Van Houten
remote (not involved),59.3,186,29.2,307,Milhouse Van Houten
🧢 (not 🎩),59.3,735,35.8,120,Milhouse Van Houten
studious (not goof-off),59.2,1175,33.3,126,Milhouse Van Houten
dramatic (not comedic),59.2,1141,32.6,47,Milhouse Van Houten
monotone (not expressive),59.2,449,35.2,37,Milhouse Van Houten
😊 (not 🤣),59.1,989,33.1,127,Milhouse Van Houten
lowbrow (not highbrow),59,353,29.9,335,Milhouse Van Houten
OCD (not ADHD),59,1000,34.4,50,Milhouse Van Houten
formal (not intimate),58.9,707,30.8,181,Milhouse Van Houten
ironic (not profound),58.8,651,30.9,54,Milhouse Van Houten
gossiping (not confidential),58.6,478,29.3,390,Milhouse Van Houten
oppressed (not privileged),58.5,481,33.2,57,Milhouse Van Houten
indiscreet (not tactful),58.3,404,34,118,Milhouse Van Houten
generalist (not specialist),58.1,316,33.4,67,Milhouse Van Houten
🐒 (not 🐩),58.1,646,34.5,111,Milhouse Van Houten
sane (not crazy),58,725,30.1,114,Milhouse Van Houten
concrete (not abstract),57.9,930,29.6,131,Milhouse Van Houten
💩 (not 🌟),57.7,346,31,127,Milhouse Van Houten
unfixable (not fixable),57.6,496,32.2,55,Milhouse Van Houten
Greek (not Roman),57.5,393,33.3,35,Milhouse Van Houten
cat person (not dog person),57.5,739,34,38,Milhouse Van Houten
thick (not thin),57.4,557,25.2,270,Milhouse Van Houten
unobservant (not perceptive),57.4,229,34.1,57,Milhouse Van Houten
wooden (not plastic),57.4,1250,32.5,43,Milhouse Van Houten
protagonist (not antagonist),57.4,1322,30.5,43,Milhouse Van Houten
smooth (not rough),57.3,770,31.4,347,Milhouse Van Houten
gloomy (not sunny),57.1,929,28.5,57,Milhouse Van Houten
existentialist (not nihilist),56.9,1062,32.3,62,Milhouse Van Houten
factual (not poetic),56.9,939,31.2,49,Milhouse Van Houten
disreputable (not prestigious),56.8,486,30.1,310,Milhouse Van Houten
ranged (not melee),56.7,828,31.5,29,Milhouse Van Houten
🐷 (not 🐮),56.6,436,33.1,184,Milhouse Van Houten
urban (not rural),56.3,1248,32,209,Milhouse Van Houten
washed (not muddy),56.2,1104,31.7,41,Milhouse Van Houten
curious (not apathetic),55.9,1342,31.1,423,Milhouse Van Houten
permanent (not transient),55.9,917,31.9,122,Milhouse Van Houten
linear (not circular),55.8,750,35,58,Milhouse Van Houten
private (not gregarious),55.5,1136,28.8,325,Milhouse Van Houten
close-minded (not open-minded),55,606,27,363,Milhouse Van Houten
hurried (not leisurely),54.9,1033,31,378,Milhouse Van Houten
Italian (not Swedish),54.9,866,36.8,45,Milhouse Van Houten
vague (not precise),54.8,431,30,236,Milhouse Van Houten
western (not eastern),54.8,1375,33.7,152,Milhouse Van Houten
🧙 (not 👨‍🚀),54.8,886,34,178,Milhouse Van Houten
exaggerating (not factual),54.8,879,30.7,50,Milhouse Van Houten
libertarian (not socialist),54.7,916,28.1,297,Milhouse Van Houten
'left-brained' (not 'right-brained'),54.7,509,31.6,255,Milhouse Van Houten
humorless (not funny),54.6,651,27.4,428,Milhouse Van Houten
pain-avoidant (not masochistic),54.5,788,39,41,Milhouse Van Houten
theist (not atheist),54.4,620,31.6,65,Milhouse Van Houten
bored (not interested),54.3,307,31.7,47,Milhouse Van Houten
underachiever (not overachiever),54.3,328,37.2,54,Milhouse Van Houten
philosophical (not real),54.1,456,28.9,291,Milhouse Van Houten
equitable (not hypocritical),54,973,32.5,101,Milhouse Van Houten
earth (not air),54,1237,32.8,48,Milhouse Van Houten
guarded (not open),53.9,1428,32.1,366,Milhouse Van Houten
always down (not picky),53.9,614,32.6,36,Milhouse Van Houten
moist (not dry),53.8,842,33.2,57,Milhouse Van Houten
regular (not zany),53.6,742,30.7,108,Milhouse Van Houten
haunted (not blissful),53.6,1300,33,50,Milhouse Van Houten
chatty (not reserved),53.4,923,31.1,384,Milhouse Van Houten
treasure (not trash),53.4,1565,32.6,147,Milhouse Van Houten
high IQ (not low IQ),53.2,1606,29.5,342,Milhouse Van Houten
English (not German),53.2,1728,32.7,53,Milhouse Van Houten
clean (not perverted),53.1,1276,33.3,41,Milhouse Van Houten
🙋‍♂️ (not 🙅‍♂️),52.8,1096,35.6,108,Milhouse Van Houten
random (not pointed),52.7,436,34.2,51,Milhouse Van Houten
winter (not summer),52.6,922,35.9,34,Milhouse Van Houten
whimsical (not rational),52.5,746,31.1,383,Milhouse Van Houten
chaste (not lustful),52.4,776,31.2,383,Milhouse Van Houten
builder (not explorer),52.1,886,28.4,329,Milhouse Van Houten
playful (not serious),52,769,29.8,397,Milhouse Van Houten
giggling (not chortling),52,602,32.5,47,Milhouse Van Houten
backdoor (not official),51.9,1054,32.6,323,Milhouse Van Houten
deep (not shallow),51.9,1322,31.2,168,Milhouse Van Houten
disorganized (not self-disciplined),51.8,552,33.3,382,Milhouse Van Houten
creepy (not disarming),51.8,489,30.9,149,Milhouse Van Houten
realistic (not ambitious),51.8,690,34.4,61,Milhouse Van Houten
pack rat (not minimalist),51.7,788,34.2,117,Milhouse Van Houten
workaholic (not slacker),51.1,1518,30.9,107,Milhouse Van Houten
mainstream (not arcane),50.9,785,33.1,345,Milhouse Van Houten
practical (not imaginative),50.1,1293,32.1,320,Milhouse Van Houten
frenzied (not sleepy),50.1,1773,33.5,37,Milhouse Van Houten
rustic (not cultured),50.7,722,25.2,35,Milhouse Van Houten
tasteful (not lewd),50.6,1362,29.2,407,Milhouse Van Houten
country-bumpkin (not city-slicker),50.6,611,30.9,141,Milhouse Van Houten
attentive (not interrupting),50.6,1067,31.5,68,Milhouse Van Houten
night owl (not morning lark),90.6,23,11,326,Moe Szyslak
depressed (not bright),89.9,7,14.8,366,Moe Szyslak
pessimistic (not optimistic),88.4,17,16.7,337,Moe Szyslak
blue-collar (not ivory-tower),88.1,33,21.6,375,Moe Szyslak
desperate (not high standards),87.5,17,18.5,60,Moe Szyslak
low-tech (not high-tech),87.4,22,13.9,370,Moe Szyslak
gloomy (not sunny),86.8,69,18.1,56,Moe Szyslak
self-destructive (not self-improving),86.6,54,16.9,62,Moe Szyslak
backdoor (not official),86,56,16.2,335,Moe Szyslak
sad (not happy),85.9,55,17.3,363,Moe Szyslak
unlucky (not fortunate),85.6,27,17.4,465,Moe Szyslak
sorrowful (not cheery),85.4,60,16.3,395,Moe Szyslak
work-first (not family-first),85.4,155,18.9,384,Moe Szyslak
repulsive (not attractive),84.8,34,17.5,425,Moe Szyslak
child free (not pronatalist),84.8,58,22.2,315,Moe Szyslak
lowbrow (not highbrow),84.4,12,20.1,394,Moe Szyslak
stingy (not generous),84.4,99,15.5,51,Moe Szyslak
miserable (not joyful),84.1,103,18.6,133,Moe Szyslak
vintage (not trendy),83.9,161,16.3,62,Moe Szyslak
side character (not main character),83.5,135,21.1,25,Moe Szyslak
skeptical (not spiritual),83.4,189,18,401,Moe Szyslak
rugged (not refined),83,112,17.7,424,Moe Szyslak
perverted (not clean),82.8,85,19.9,59,Moe Szyslak
👨‍🔧 (not 👨‍⚕️),82.7,150,20.3,106,Moe Szyslak
lewd (not tasteful),82.5,46,19.2,428,Moe Szyslak
scruffy (not manicured),82.4,137,21.9,383,Moe Szyslak
cannibal (not vegan),82,131,22.7,54,Moe Szyslak
drop out (not valedictorian),81.9,98,24.4,122,Moe Szyslak
moody (not stable),81.6,283,21.3,453,Moe Szyslak
unpolished (not eloquent),81.6,76,23.2,341,Moe Szyslak
disreputable (not prestigious),81.4,54,21.1,268,Moe Szyslak
crafty (not scholarly),81.3,153,17.2,384,Moe Szyslak
edgy (not politically correct),81.2,178,17.6,409,Moe Szyslak
traumatized (not flourishing),81.2,194,23.7,44,Moe Szyslak
🐒 (not 🐩),81,56,19.3,129,Moe Szyslak
frugal (not lavish),80.8,72,21.5,353,Moe Szyslak
sarcastic (not genuine),80.8,168,22.4,383,Moe Szyslak
poor (not rich),80.8,114,19,361,Moe Szyslak
🛌 (not 🧗),80.7,62,20.9,174,Moe Szyslak
jaded (not innocent),80.6,338,19.6,38,Moe Szyslak
bitter (not sweet),80.4,201,19.5,341,Moe Szyslak
old (not young),80.3,181,13.5,437,Moe Szyslak
unmotivated (not motivated),80.2,17,24,46,Moe Szyslak
penny-pincher (not overspender),80.2,50,23.9,178,Moe Szyslak
slovenly (not stylish),80,74,22.5,368,Moe Szyslak
rough (not smooth),80,109,22.1,355,Moe Szyslak
freelance (not corporate),80,320,19.6,42,Moe Szyslak
f***-the-police (not tattle-tale),79.9,406,25,44,Moe Szyslak
sickly (not healthy),79.8,48,18.2,379,Moe Szyslak
frank (not sugarcoated),79.8,381,28.2,39,Moe Szyslak
debased (not pure),79.7,197,22.6,392,Moe Szyslak
cheesy (not chic),79.2,145,20.1,44,Moe Szyslak
stinky (not fresh),79.2,73,22.6,180,Moe Szyslak
proletariat (not bourgeoisie),79,110,27.8,311,Moe Szyslak
🐐 (not 🦒),78.9,55,23.8,180,Moe Szyslak
street-smart (not sheltered),78.8,391,23.9,343,Moe Szyslak
ugly (not beautiful),78.6,45,23.3,125,Moe Szyslak
scandalous (not proper),78.5,289,22.3,349,Moe Szyslak
suspicious (not trusting),78.4,309,24.3,431,Moe Szyslak
thrifty (not extravagant),78.1,96,25.3,53,Moe Szyslak
luddite (not technophile),78,54,21.3,293,Moe Szyslak
haunted (not blissful),78,365,20.8,60,Moe Szyslak
masculine (not feminine),77.6,580,20.4,447,Moe Szyslak
awkward (not charming),77.5,122,25,448,Moe Szyslak
sexist (not feminist),77.5,173,22.5,158,Moe Szyslak
stuck-in-the-past (not forward-thinking),77.5,94,22.2,54,Moe Szyslak
mischievous (not well behaved),77.3,489,21.3,444,Moe Szyslak
feisty (not gracious),77.3,427,19.9,310,Moe Szyslak
freak (not normie),77.2,240,21.1,60,Moe Szyslak
lustful (not chaste),77.1,270,21.6,383,Moe Szyslak
💔 (not 💝),77.1,165,29.1,204,Moe Szyslak
🐀 (not 🐘),77.1,92,25.4,187,Moe Szyslak
underachiever (not overachiever),77,55,27.2,58,Moe Szyslak
rude (not respectful),76.7,211,20.6,429,Moe Szyslak
creepy (not disarming),76.6,104,24.1,164,Moe Szyslak
heathen (not devout),76.5,121,24.5,384,Moe Szyslak
insulting (not complimentary),76.5,258,22,90,Moe Szyslak
weird (not normal),76.2,363,23.8,432,Moe Szyslak
cringeworthy (not inspiring),76.2,176,23.2,87,Moe Szyslak
selfish (not altruistic),76,321,24,409,Moe Szyslak
gendered (not androgynous),75.8,880,28,151,Moe Szyslak
apathetic (not curious),75.7,25,24.7,397,Moe Szyslak
jealous (not compersive),75.6,252,23.3,295,Moe Szyslak
conspiracist (not sheeple),75.3,343,24.4,279,Moe Szyslak
gossiping (not confidential),75.2,209,25.7,411,Moe Szyslak
folksy (not presidential),75.1,212,26.4,56,Moe Szyslak
insecure (not confident),75.1,110,28.4,393,Moe Szyslak
quarrelsome (not warm),74.9,402,24.2,427,Moe Szyslak
bad-cook (not good-cook),74.8,191,24.4,55,Moe Szyslak
mad (not glad),74.6,352,24.7,118,Moe Szyslak
😈 (not 😇),74.5,342,21.3,153,Moe Szyslak
outlaw (not sheriff),74.4,420,23.7,354,Moe Szyslak
repetitive (not varied),74.4,155,23.4,156,Moe Szyslak
😭 (not 😀),74.3,152,26.3,130,Moe Szyslak
off-key (not musical),74.2,174,26.7,41,Moe Szyslak
vengeful (not forgiving),74.1,413,27.6,426,Moe Szyslak
reactive (not proactive),74.1,124,24.9,39,Moe Szyslak
anxious (not calm),73.9,382,26.8,361,Moe Szyslak
mundane (not extraordinary),73.9,79,25.8,351,Moe Szyslak
paranoid (not naive),73.6,305,30.1,39,Moe Szyslak
🧙 (not 👨‍🚀),73.5,225,23.3,159,Moe Szyslak
stick-in-the-mud (not adventurous),73.4,209,24.6,327,Moe Szyslak
rustic (not cultured),73.4,142,25.2,52,Moe Szyslak
cunning (not honorable),73.4,307,24.2,442,Moe Szyslak
utilitarian (not decorative),73.4,354,24.2,86,Moe Szyslak
oppressed (not privileged),73.3,172,25.4,49,Moe Szyslak
muddy (not washed),73.3,163,22.4,39,Moe Szyslak
hypocritical (not equitable),73.3,264,23.2,110,Moe Szyslak
slothful (not active),73.1,60,22.8,373,Moe Szyslak
puny (not mighty),73,95,22.7,401,Moe Szyslak
👩‍🎤 (not 👩‍🔬),73,396,23.2,120,Moe Szyslak
demonic (not angelic),72.9,308,18.7,405,Moe Szyslak
atheist (not theist),72.7,404,27.8,85,Moe Szyslak
focused on the present (not focused on the future),72.7,154,26.7,357,Moe Szyslak
low self esteem (not narcissistic),72.5,168,31,55,Moe Szyslak
punk rock (not preppy),72.4,352,27.3,63,Moe Szyslak
kinky (not vanilla),72.3,362,25.9,387,Moe Szyslak
pensive (not serene),72.3,433,24.7,44,Moe Szyslak
cocky (not timid),72.2,777,25.1,38,Moe Szyslak
barbaric (not civilized),72.1,180,22.3,351,Moe Szyslak
low IQ (not high IQ),71.9,73,21.9,314,Moe Szyslak
🥴 (not 🥳),71.9,252,28.2,106,Moe Szyslak
worldly (not innocent),71.7,736,24.5,378,Moe Szyslak
provincial (not cosmopolitan),71.6,168,27.8,317,Moe Szyslak
🐷 (not 🐮),71.6,132,27.5,171,Moe Szyslak
🙃 (not 🥰),71.5,285,30.6,177,Moe Szyslak
rock (not rap),71.5,894,26.2,44,Moe Szyslak
Italian (not Swedish),71.4,295,30.6,42,Moe Szyslak
indulgent (not sober),71.2,440,27.4,389,Moe Szyslak
🐴 (not 🦄),71.2,418,32,101,Moe Szyslak
🤣 (not 😊),71.1,211,22.7,121,Moe Szyslak
ironic (not profound),71.1,175,28.4,49,Moe Szyslak
emotional (not logical),71,448,26.3,431,Moe Szyslak
🚴 (not 🏋️‍♂️),71,718,23.9,118,Moe Szyslak
messy (not neat),70.9,327,27.5,280,Moe Szyslak
goof-off (not studious),70.9,302,26.2,107,Moe Szyslak
psychopath (not empath),70.9,328,25.8,55,Moe Szyslak
anarchist (not statist),70.9,317,27.7,182,Moe Szyslak
boy/girl-next-door (not celebrity),70.7,639,28.2,35,Moe Szyslak
crazy (not sane),70.6,427,25.9,131,Moe Szyslak
everyman (not chosen one),70.6,218,32.9,44,Moe Szyslak
biased (not impartial),70.5,560,28.3,335,Moe Szyslak
beta (not alpha),70.5,303,28.5,345,Moe Szyslak
stubborn (not accommodating),70.3,882,30.6,53,Moe Szyslak
impatient (not patient),70.3,628,27.2,138,Moe Szyslak
dunce (not genius),70.2,168,21.7,457,Moe Szyslak
nihilist (not existentialist),70.2,63,30.4,70,Moe Szyslak
twitchy (not still),70.1,520,28.6,59,Moe Szyslak
indie (not pop),70,540,27.6,47,Moe Szyslak
uninspiring (not charismatic),69.7,68,29.2,339,Moe Szyslak
tense (not relaxed),69.7,965,27.4,396,Moe Szyslak
rebellious (not obedient),69.6,757,25.3,362,Moe Szyslak
money-focused (not love-focused),69.6,298,30.7,50,Moe Szyslak
Russian (not French),69.5,169,26.9,37,Moe Szyslak
interrupting (not attentive),69.3,393,27.7,53,Moe Szyslak
chaotic (not orderly),69,504,27.7,414,Moe Szyslak
deranged (not reasonable),68.9,370,26.6,115,Moe Szyslak
self-conscious (not self-assured),68.8,157,31.6,365,Moe Szyslak
instinctual (not reasoned),68.7,550,26.7,314,Moe Szyslak
realistic (not ambitious),68.7,192,27.4,49,Moe Szyslak
guarded (not open),68.6,950,28.3,354,Moe Szyslak
salacious (not wholesome),68.6,399,28.2,123,Moe Szyslak
wooden (not plastic),68.5,664,26.9,42,Moe Szyslak
poisonous (not nurturing),68.3,391,24.3,154,Moe Szyslak
competitive (not cooperative),68.2,766,28.2,397,Moe Szyslak
slow (not fast),68.1,121,24,374,Moe Szyslak
unambitious (not driven),68,41,28.2,341,Moe Szyslak
historical (not modern),68,423,24.3,260,Moe Szyslak
geriatric (not vibrant),68,134,27.1,43,Moe Szyslak
fearmongering (not reassuring),68,367,30.2,53,Moe Szyslak
ferocious (not pacifist),67.9,699,27.3,423,Moe Szyslak
vague (not precise),67.9,138,25.6,225,Moe Szyslak
basic (not hipster),67.8,536,29.1,431,Moe Szyslak
disorganized (not self-disciplined),67.7,264,28.9,395,Moe Szyslak
clumsy (not coordinated),67.7,298,26.9,411,Moe Szyslak
practical (not imaginative),67.7,685,28.4,347,Moe Szyslak
📉 (not 📈),67.7,98,30.5,140,Moe Szyslak
often crying (not never cries),67.6,360,30.5,37,Moe Szyslak
trash (not treasure),67.5,165,28.8,146,Moe Szyslak
realist (not idealist),67.4,436,32.1,86,Moe Szyslak
chortling (not giggling),67.4,609,26.7,45,Moe Szyslak
non-gamer (not gamer),67.4,658,34.6,54,Moe Szyslak
slugabed (not go-getter),67.4,60,29.2,86,Moe Szyslak
💃 (not 🧕),67.3,765,29.6,186,Moe Szyslak
lost (not enlightened),67.3,431,30.1,63,Moe Szyslak
angry (not good-humored),67.2,396,26.8,383,Moe Szyslak
first-mate (not captain),67.2,571,29.5,363,Moe Szyslak
cynical (not gullible),67.2,738,32.6,38,Moe Szyslak
libertarian (not socialist),67.1,239,30.7,357,Moe Szyslak
monochrome (not multicolored),67.1,424,30.6,76,Moe Szyslak
permanent (not transient),66.9,428,28.5,123,Moe Szyslak
ludicrous (not sensible),66.8,358,27.2,376,Moe Szyslak
secretive (not open-book),66.7,783,29.7,51,Moe Szyslak
scrub (not legit),66.5,145,28.1,185,Moe Szyslak
antagonist (not protagonist),66.5,247,29.1,27,Moe Szyslak
master (not apprentice),66.4,878,29.5,151,Moe Szyslak
chatty (not reserved),66.3,615,28.2,399,Moe Szyslak
comedic (not dramatic),66.3,259,27.7,56,Moe Szyslak
pack rat (not minimalist),66.2,302,28.9,104,Moe Szyslak
exaggerating (not factual),66.2,579,30.4,60,Moe Szyslak
🧢 (not 🎩),66.1,544,35.1,112,Moe Szyslak
random (not pointed),65.9,219,29.4,48,Moe Szyslak
cat person (not dog person),65.8,483,32,43,Moe Szyslak
